maxsal,minsal,intern_num,city,scale,c_desc,month_num,day,c_tag,name,industry,c_name,
100,50,62,北京,2000人以上,搜狐是中国领先的互联网媒体、搜索、在线游戏集团，拥有搜狐、畅游和搜狗三家美国上市公司。,3,5,"['良好团队氛围', '有大牛', '丰厚实习佣金', '帅哥美女多', '快速成长', '自我提升', '团队建设活动', '可留任', '高逼格环境', '15天带薪年假']",新媒体运维实习生（线上）,互联网/游戏/软件,搜狐,
150,100,5,深圳,15-50人,致力于为中国高端家庭提供一站式国际教育服务,4,5,"['工作氛围极好', '领导nice', '发展速度快', '专业提升巨大', '专注教育', '实现自我梦想', '顶级VC投资', '巨大发展潜力', '办公气氛自由', '生日补助']",人事实习生,教育/培训,海岸线国际教育,
300,250,8,上海,15-50人,致力于提供针对非结构化数据存储、标注、模型训练和管理预测的一站式AI服务平台产品,4,5,"['弹性工作', '技术大牛', '高成长平台', 'AI技术平台']",测试实习生,互联网/游戏/软件,隐木科技,
100,100,3,上海,15-50人,由上海万科房地产有限公司全资成立的子公司,4,4,['氛围nice'],国际学校品牌宣传实习生,教育/培训,万科教育,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",营收产品运营实习生,互联网/游戏/软件,欢聚集团,
200,120,14,北京,500-2000人,是国内的医疗大数据技术企业，致力于与中国领先的医疗机构,3,4,"['医疗大数据', '弹性工作']",医学数据实习生,医疗/健康/制药/生物,医渡云,
120,100,4,北京,150-500人,新加坡上市猎头公司,3,3,[],猎头顾问管培生,农林牧渔/其他,HRnetOne,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",用户运营实习生（北美区）,互联网/游戏/软件,欢聚集团,
120,80,5,西安,50-150人,一家由中科院旗下中科创星基金投资的高新技术企业,3,5,"['员工旅游', '奖金', '天使轮', '绩效工资', '免费茶水', '轻松活跃', '团队融洽', '领导NICE']",课程编辑实习生,互联网/游戏/软件,募格网络科技,
400,300,21,广州,500-2000人,一家专注于互联网营销服务圈的上市企业,6,5,"['资深大牛指导', '逗比工作氛围', '员工年度旅游', '免费体检，身体棒棒', '吃喝玩乐腐败金', '产品前景棒']",视觉设计实习生,互联网/游戏/软件,凡科,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",产品经理实习生（电商）,互联网/游戏/软件,欢聚集团,
200,200,11,北京,150-500人,小米生态链企业，专注做清洁类产品，爆款产品：米家扫地机、石头扫地机。,3,5,[],电池助理工程师,互联网/游戏/软件,石头科技,
150,100,176,北京,2000人以上,以视频内容，连接你我，丰富生活,6,4,"['工作环境超棒', '节日大礼包', '餐补']",产品实习生,互联网/游戏/软件,欢聚集团,
120,100,3,广州,150-500人,八方锦程作为中国员工雇前背景调查领域为领先的公司，我们在快速的发展中极为期待那个的你！,9,5,"['制度人性化', '老板人很帅', '成长环境', '节日费用', '实习补助', '薪酬福利好', '欢乐团队', '带薪年假、婚假、产假等国家规定假期', '良好团队氛围', '双休日']",背景调查助理顾问（21届实习生）,企业服务/咨询,八方锦程,
150,100,44,广州,2000人以上,浩鲸云计算科技股份有限公司是一家全球领先的数据智能科技公司，由阿里巴巴和中兴通讯共同投资。,3,3,"['上升空间大', '学习平台多', '实战多成长快', '业内认可度高，领导Nice，AI，区块链，有激情，无政治']",人力资源实习生,互联网/游戏/软件,浩鲸科技,
500,300,24,上海,150-500人,一个有情怀的出国留学在线教育品牌,3,3,"['地铁周边', '5A写字楼', '美女如云', '领导同事好', '扁平管理', '氛围好有提升']",托福营销实习生,互联网/游戏/软件,趴趴英语,
200,150,9,南京,150-500人,南京摩亚信息科技有限公司是新西兰麦卢卡蜂业有限公司正式授权的中国代理公司，从事销售及客户管理等业务。,2,2,"['外资背景', '公司靠谱', '政府关系', '老板超Nice', '绿色健康行业', '实战技能值up', '优秀导师', '自由灵活', '五星办公环境', '新人培养机制']",策划助理,快消/百货/批发/零售,MOA,
150,100,7,广州,150-500人,卓越的城市运营商，区属国企南沙开发建设集团属下专业的资产运营平台和城市运营服务商,3,3,"['公司将上市', '商业医疗保险', '导师制度', '食堂', '终生培训']",运营管理岗(可转国企编制),房产/家居/物业/建筑,南沙城市运营,
120,100,4,武汉,2000人以上,中国的整合IT服务商,3,5,[],培训运营实习生,互联网/游戏/软件,神州数码,
100,100,1,杭州,2000人以上,隶属于中国建筑集团有限公司，1979年创立于香港，1992年在香港联交所上市（股票代码：00688.,3,5,[],营销执行策划,房产/家居/物业/建筑,中海地产,
120,100,12,上海,2000人以上,集团公司，直营超市为主营业务之一，囊括便利店，物流，酒店，商业广场等多家子公司,7,5,"['免费中餐', '企业文化好', '无限可能', '公司培训', '有发展前景', '免费体检']",采购助理,快消/百货/批发/零售,农超集团,
500,300,28,北京,2000人以上,中国领先的房地产服务企业,8,6,[],金融专员,房产/家居/物业/建筑,北京链家,
200,150,116,北京,500-2000人,国内的财富管理公司,12,5,"['有趣的团队', '定期团建', '人情味十足', '重视员工价值', '有水果吃', '领导是逗比', '发展机遇', '8小时工作制', '福利待遇优', '接收应届生']",基金投资规划师,金融/经济/投资/财会,源石财富,
100,50,122,全国,2000人以上,在线教育引领者,3,3,"['稳定高速增长', '有平台有机会', '创业型公司', '学习型', '你的舞台', '个人提升']",校园大使,教育/培训,作业帮,
200,120,6,石家庄,50-150人,公司是一家面向全国性集采购、研发、生产、销售为一体的集团连锁企业,3,6,"['广阔平台', '晋升空间大', '带薪年假', '环境氛围好', '五险一金', '弹性工作']",管培生,快消/百货/批发/零售,晗普信息科技,
150,80,2,长沙,未知规模,中国首批综合类证券公司，上海证券交易所、深圳证券交易所首批会员,3,2,[],实习理财经理,金融/经济/投资/财会,方正证券,
180,120,19,北京,150-500人,中国知名律师事务所，红圈律所之一。,10,5,"['工作气氛好', '红圈律所', '行业领导者', '知名律所']",律师助理（实习生）证券业务部,企业服务/咨询,竞天公诚律师事务所,
150,100,1,广州,少于15人,致力于促进广东企业整体科学发展,3,2,['有机会转正'],会长助理（秘书）,公共事业/NGO/政府,珠三角企业文化协会,
180,120,14,武汉,150-500人,从事开发及运营的公司。专注于无线互联网的在线互动娱乐研究和运营。,6,6,"['小鲜肉多多哒', '同事年轻友好', '朝九晚六', '下午茶', '年终奖', '生日会', '每月团建', '旅游']",实习商务专员,互联网/游戏/软件,新蜂网络,
250,180,34,广州,150-500人,专注品牌事业十余年，是一家兼具国际视野、创新动力、全方位跨平台的品牌咨询与设计整合服务公司。,3,5,[],移动通信工程师,互联网/游戏/软件,前沿开发,
200,100,2,全国,15-50人,时尚设计与商业创新公司,3,5,"['人性管理', '专业', '文化多元', '年轻活力', '老板nice', '精英团队', '自由办公', '导师制培训']",时尚生活电商设计实习,广告/传媒/公关/展览,buds,
500,300,28,北京,2000人以上,中国领先的房地产服务企业,8,5,[],门店助理,房产/家居/物业/建筑,北京链家,
250,180,3,上海,少于15人,复效咨询是由资深培训导师与咨询专家所组成，主要提供领导力培训、管理培训和各类专业培训及培训相关的咨询,3,4,"['老板nice', '拥抱变化', '有趣的团队', '领导nice', '五险& 双休', '学习机会多多']",培训助教,企业服务/咨询, 复效咨询,
200,120,29,北京,2000人以上,易车公司是美国纽约证券交易所上市公司，纽交所股票代码：BITA，是中国的汽车互联网企业,3,4,[],政府事务专员—校招,互联网/游戏/软件,易车网,
100,50,7,武汉,2000人以上,光通信专家，中国具综合实力的光通信企业之一,6,4,"['各类补助', '高大上', '学习空间', '上下班班车', '高层前辈多', '年轻人多', '工作环境舒适', '福利多多', '免费午餐（四菜一汤）', '“非典型”央企']",党委办公室政工实习生,电子/通信/硬件,烽火通信,
200,100,2,上海,15-50人,致力于为客户提供全方位的融资服务,6,5,"['转正机会', '快速成长空间', '团队氛围好']",业务实习生（上海）,金融/经济/投资/财会,茅台租赁,
200,150,7,深圳,150-500人,一家专业从事游戏运营的专业化互联网公司,12,5,"['各种福利', '岗位晋升', '团队融洽有爱', '高薪水', '注重培养', '关爱员工', '良好工作环境', '下午茶福利', '新人培训', '节日礼品']",行政前台实习生,互联网/游戏/软件,尚米网络,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",平台活动运营实习生,互联网/游戏/软件,欢聚集团,
50,0,6,全国,15-50人,一家专注于大学生创业孵化和咨询的投资企业。,3,5,"['积累创业经验', '领导亲和力强', '彪悍不解释', '投资', '年轻化', '创投服务工作']",编程技术,企业服务/咨询,彼得潘文化,
200,150,5,上海,150-500人,国内领先的互联网医疗公司,3,5,"['活力氛围', '车贴', '项目多样性', '用户为青年人']",内容运营实习生-视频方向,互联网/游戏/软件,善诊,
150,120,38,成都,50-150人,繁星数据致力于提供快速、高效、安全和高质量的数据采集与标注服务。,3,5,"['人工智能', '大数据']",财务会计专员,互联网/游戏/软件,繁星数据,
200,100,13,广州,15-50人,一家致力于品牌呈现与传播的综合性服务企业服务,1,1,[],校园专员,广告/传媒/公关/展览,世方志文化,
200,150,7,广州,500-2000人,中国一站式创客孵化服务平台领导者,6,5,"['团队专业', '上市企业 ', '周末双休', '带薪年假', '绩效奖金', '年终奖金', '节日福利', '各种补贴']",商务助理实习生,企业服务/咨询,创富港,
120,120,6,成都,500-2000人,中国一家上市外资的白酒企业,3,5,"['福利健全', '薪酬福利好', '外企实习', '免费零食茶饮', '文化好', '同事都可爱', '出差环境优美', '良好团队氛围', '充满激情', '领导好']",HR系统项目实习生,农林牧渔/其他,水井坊,
50,0,2,包头,150-500人,集勘察设计与施工为一体、多业务板块有机结合的大型建设企业集团,3,5,[],财务实习生,房产/家居/物业/建筑,中地寅岗建设集团 ,
100,80,6,沈阳,150-500人,荣科科技根植于IT服务多年，提供更加全面、客户化的数据中心服务方案。,12,5,['专业团队'],信息系统实习生,互联网/游戏/软件,荣科科技,
200,120,1,上海,150-500人,施工设计一体化，施工总承包特级单位。,6,5,"['节假日福利', '专业强', '实习可转正', '发展平台大', '高温津贴']",集团公司管培生,房产/家居/物业/建筑,舜元建设,
150,100,61,广州,500-2000人,致力于打造基于企业战略的动态人才供应链体系，并协助企业构建企业大学培训体系。,3,5,[],课程开发师,企业服务/咨询,中大咨询,
400,200,8,杭州,50-150人,一家新兴的专注于企业服务的互联网公司。,8,6,"['关爱员工', '环境佳']",网络营销,企业服务/咨询,广筑信息,
200,150,4,武汉,50-150人,法定代表人朱培松，公司经营范围包括：服装、鞋帽、体育用品、运动器材、电器、五金水暖；货架、模特道具.,3,6,[],人事专员,不限,博时丰,
180,150,4,北京,50-150人,美兰德调研成立于1994年，是国家统计局批准的甲类涉外调查许可单位,3,5,['咨询-公共服'],研究员,企业服务/咨询,美兰德,
150,100,33,广州,500-2000人,致力于用工匠精神打造数字中国,6,3,"['腾讯投资', '三大运营商投资', '大平台', '好前景']",办公室文秘实习生,互联网/游戏/软件,数字广东,
120,120,3,上海,50-150人,老司机科技致力于保险科技服务平台，努力以科技力量变革保险行业。,3,5,"['企业氛围和谐', '工作环境轻松']",财务助理,互联网/游戏/软件,老司机车险,
100,80,6,沈阳,150-500人,荣科科技根植于IT服务多年，提供更加全面、客户化的数据中心服务方案。,12,5,['专业团队'],网络与安全实习生,互联网/游戏/软件,荣科科技,
300,150,4,大连,15-50人,专注于计算机软件行业的公司,5,5,"['年轻& 活力', '双休& a险', '大家庭', '无限量美酒', '晋升空间好']",日语IT软件开发实习生,互联网/游戏/软件,海纳,
180,150,2,上海,少于15人,凡佳信息科技（上海）有限公司专注于供应链领域的系统应用和开发，以及物流解决方案的设计、监控和运作 ,6,5,['年轻人的世界'],Javascript开发实习生,互联网/游戏/软件,凡佳信息科技,
0,0,14,上海,50-150人,泛学习社交平台,6,4,"['社交APP', '游戏', '心理', '教育', '学习', '移动互联网']",安卓APP研发工程师,互联网/游戏/软件,心智矩阵,
180,150,4,上海,15-50人,壹树医疗科技有限公司是国药控股股份有限公司（股票代码： HK1099）旗下的第三方医保科技和服务公司,3,3,"['丰富带薪假期', '五险一金', '年终奖励', '弹性考勤', '专业', '导师制培训']",人事实习生,医疗/健康/制药/生物,壹树医疗科技,
250,200,26,北京,500-2000人,全球领先的在线外贸交易平台,6,5,"['互联网精神', '发展好', '大公司']",运维工程师,互联网/游戏/软件,敦煌网,
