,RowID,maxsal,minsal,intern_num,month_num,day,industry,city,scale,name,uuid,c_desc,c_tag,c_name,互联网,教育,房产,广告,金融,企业服务,快消,电子,医疗,汽车,2000人以上,500-2000人,50-500人,少于50人,未知规模,Java,HRBP,文案,平台,实施,前端,管理,社群,培训,校招,人事,UI,活动,研发,顾问,设计师,视觉,用户,项目,行政,管培生,海外,市场,运维,数据,HR,策划,电商,商务,人力资源,客服,编辑,测试,游戏,算法,视频,设计,招聘,媒体,内容,专员,产品,销售,开发,工程师,助理,运营
0,0,100,50,62,3,5,互联网/游戏/软件,北京,2000人以上,新媒体运维实习生（线上）,inn_pesociqchwwy,搜狐是中国领先的互联网媒体、搜索、在线游戏集团，拥有搜狐、畅游和搜狗三家美国上市公司。,"['良好团队氛围', '有大牛', '丰厚实习佣金', '帅哥美女多', '快速成长', '自我提升', '团队建设活动', '可留任', '高逼格环境', '15天带薪年假']",搜狐,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,150,100,5,4,5,教育/培训,深圳,15-50人,人事实习生,inn_pnmwffjoo0dn,致力于为中国高端家庭提供一站式国际教育服务,"['工作氛围极好', '领导nice', '发展速度快', '专业提升巨大', '专注教育', '实现自我梦想', '顶级VC投资', '巨大发展潜力', '办公气氛自由', '生日补助']",海岸线国际教育,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,300,250,8,4,5,互联网/游戏/软件,上海,15-50人,测试实习生,inn_eb8tu8d9biof,致力于提供针对非结构化数据存储、标注、模型训练和管理预测的一站式AI服务平台产品,"['弹性工作', '技术大牛', '高成长平台', 'AI技术平台']",隐木科技,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,100,100,3,4,4,教育/培训,上海,15-50人,国际学校品牌宣传实习生,inn_yejqocktoje7,由上海万科房地产有限公司全资成立的子公司,['氛围nice'],万科教育,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,150,100,176,3,4,互联网/游戏/软件,广州,2000人以上,营收产品运营实习生,inn_77fzt2sn2flx,以视频内容，连接你我，丰富生活,"['工作环境超棒', '节日大礼包', '餐补']",欢聚集团,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,5,200,120,14,3,4,医疗/健康/制药/生物,北京,500-2000人,医学数据实习生,inn_zek8hdtcqf0i,是国内的医疗大数据技术企业，致力于与中国领先的医疗机构,"['医疗大数据', '弹性工作']",医渡云,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,120,100,4,3,3,农林牧渔/其他,北京,150-500人,猎头顾问管培生,inn_yfherjp8vxso,新加坡上市猎头公司,[],HRnetOne,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,150,100,176,3,4,互联网/游戏/软件,广州,2000人以上,用户运营实习生（北美区）,inn_jk7oj6klld8f,以视频内容，连接你我，丰富生活,"['工作环境超棒', '节日大礼包', '餐补']",欢聚集团,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,120,80,5,3,5,互联网/游戏/软件,西安,50-150人,课程编辑实习生,inn_uw89xy651f47,一家由中科院旗下中科创星基金投资的高新技术企业,"['员工旅游', '奖金', '天使轮', '绩效工资', '免费茶水', '轻松活跃', '团队融洽', '领导NICE']",募格网络科技,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,400,300,21,6,5,互联网/游戏/软件,广州,500-2000人,视觉设计实习生,inn_t970r2nonnf0,一家专注于互联网营销服务圈的上市企业,"['资深大牛指导', '逗比工作氛围', '员工年度旅游', '免费体检，身体棒棒', '吃喝玩乐腐败金', '产品前景棒']",凡科,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
