RowID,intern_num,maxsal,minsal,city,scale,id_1,c_desc,month_num,day,c_tag,name,industry,c_name,
0,9,200,150,上海,50-150人,inn_ndcc39n5b4cy,American technology company doing Smart products!,4,5,"['智能科技', '美资企业', '自由开放', '人工智能']",WeChat miniapp developer,互联网/游戏/软件,Xavor Corporation,
1,176,150,100,北京,2000人以上,inn_jixhwa9ap5kl,以视频内容，连接你我，丰富生活,3,3,"['工作环境超棒', '节日大礼包', '餐补']",行政实习生（物业管理）,互联网/游戏/软件,欢聚集团,
2,17,400,200,青岛,150-500人,inn_wgwd96v77ov9,集高新科技研发、技术支持及互联网技术安全为一体的科技公司,3,5,"['公司前景好', '超强团队', '全方位培训', '环境高大上', '轻松和睦']",C#游戏开发工程师实习生,互联网/游戏/软件,乾璟科技,
3,2,120,80,广州,15-50人,inn_jhblfehulzjt,致力于成为的创新型新媒体服务商。,3,6,"['办公楼地铁上盖', '有餐补', '有零食饮料', '轻松自由', '丰富活动', '暑假实习生', '逗比同事', '不定期下午茶', '老板人超好', '留任发展']",抖音运营实习生,互联网/游戏/软件,极推科技,
4,6,150,100,杭州,150-500人,inn_nupdmpcycode,微链，一站式创投服务平台，坚持“让创新成为未来”的使命，为创业者提供专业、优质的创业服务。,3,4,"['精英', '无限发展空间', '我们气氛好', '开放空间']",运营实习生,互联网/游戏/软件,微链,
5,12,200,150,杭州,15-50人,inn_q1vqpi9gzy1h,"尼禄（杭州）软件有限公司位于浙江省杭州市西湖区文三路莱茵达大11F,属于外资企业，经营一直稳中有进。",4,3,"['管理规范', '氛围和善', '校园实习生']",C#/WPF实习生,互联网/游戏/软件,尼禄,
6,15,200,100,广州,50-150人,inn_qajltppdo73k,奇米定制是广州奇米广告有限公司旗下打造的校园文化衫个性定制品牌,1,1,[],销售经理,互联网/游戏/软件,奇米定制,
7,2,120,100,上海,150-500人,inn_r95lxzuq4s7f,我们是一家互联网公司，以SaaS形式向企业客户提供商务出行+费用管理的系统与服务。,3,5,"['领导NICE', '职位晋升', '员工培养', '留用转正机会', '同事好相处']",部门助理/运营助理,互联网/游戏/软件,在途商旅,
8,8,150,120,杭州,50-150人,inn_vhdycvjiba0z,新一代的数据分析与商业智能（BI）解决方案,6,3,"['互联网精神', '培训分享', '技术背景', '带薪年假', '年轻有活力', '前沿行业', '顶级VC投资']",市场运营实习生,互联网/游戏/软件,观远数据,
9,8,250,150,深圳,150-500人,inn_ictg7gkxeqha,安狗狗集团，成立于2013年，是国内 进入智能手机领域的公司之一，领先的智能移动工具及服务提供商。,3,5,"['健身帅哥美女', '多品牌', '发展潜力巨大']",渠道实习生,互联网/游戏/软件,安狗狗,
10,6,120,100,成都,50-150人,inn_hhrvciahri9o,一家关于品牌策划、品牌企业营销公司,6,5,[],教辅资料整理实习生,互联网/游戏/软件,巨方品牌策划,
11,390,150,120,北京,2000人以上,inn_xj7kud0334wc,中国的综合网络零售商,3,5,"['精英多多', '团队实力强', '锻炼自我', '专业、活力、创造', 'AI', '技术大牛坐镇', '精英', 'nice氛围', '创新']",HR实习生（招聘方向）,互联网/游戏/软件,京东,
12,44,300,150,北京,2000人以上,inn_vgtmpbkqu3pm,中国领先的网络安全、大数据与安全云服务提供商。,5,4,"['团建&amp;amp;amp;出国游', '发展前景']",Python开发工程师J11792,互联网/游戏/软件,天融信科技集团,
13,10,150,100,广州,15-50人,inn_a2dk0atls3m9,聚焦于语音互动方向,3,5,"['团队专业', '技术氛围好', '同事年轻友好', '员工素质高', '该有的都有', '上班可以听歌哦', '待遇优厚', '底薪加提成']",印地语运营实习生,互联网/游戏/软件,恰好青春,
14,4,180,120,上海,500-2000人,inn_oogxorhmgo5h,索尼公司是世界上民用/专业视听产品、游戏产品、通讯产品和信息技术等领域的先导之一,3,4,[],Unity Software Engineer Intern,电子/通信/硬件,索尼,
15,486,200,150,北京,2000人以上,inn_o7cdu8fhpfnk,一站式移动出行和生活平台。,4,5,"['互联网', '高逼格大厦', '名企实习', '各种福利', '广阔平台']",招聘助理实习生,互联网/游戏/软件,滴滴,
16,2,400,300,上海,15-50人,inn_crxu0tbxnq96,朵安诺是小众品牌管理专家，专注于管理及经营国际小众品牌！被天猫国际集团评为等级五星级生态服务商。,6,5,[],策划管培生,互联网/游戏/软件,朵安诺,
17,6,250,200,杭州,少于15人,inn_y9obznp7bxxs,一家由区块链技术驱动的文创科技公司，旨在利用区块链赋能文创行业。,3,5,"['区块链', '创新游戏', '文化创意', '艺术美术', '温馨创意园', '年轻']",UI设计实习生,互联网/游戏/软件,链坊科技,
